"Benchmark","Mode","Cnt","Score","Error","Units"
"com.mitchellbosecke.benchmark.Freemarker","thrpt",50,17513.783,96.899,"ops/s"
"com.mitchellbosecke.benchmark.Handlebars","thrpt",50,18458.034,449.191,"ops/s"
"com.mitchellbosecke.benchmark.HtmlFlow","thrpt",50,54689.647,323.902,"ops/s"
"com.mitchellbosecke.benchmark.J2Html","thrpt",50,3417.385,127.713,"ops/s"
"com.mitchellbosecke.benchmark.KotlinHtml","thrpt",50,4798.732,620.567,"ops/s"
"com.mitchellbosecke.benchmark.Mustache","thrpt",50,19409.419,74.539,"ops/s"
"com.mitchellbosecke.benchmark.Pebble","thrpt",50,28545.821,276.105,"ops/s"
"com.mitchellbosecke.benchmark.Rocker","thrpt",50,57598.011,372.448,"ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf","thrpt",50,4494.875,379.747,"ops/s"
"com.mitchellbosecke.benchmark.Trimou","thrpt",50,22324.133,80.185,"ops/s"
"com.mitchellbosecke.benchmark.Velocity","thrpt",50,15766.818,591.082,"ops/s"